Product ID,Product Name,Brand,Category,Sub-Category,MRP
P0161,HomeNest Alpha Mixer Grinder,HomeNest,Home & Kitchen,Kitchen Appliances,"₹7,730"
P0162,ZenHome Classic Wall Art,ZenHome,Home & Kitchen,Home Decor,₹750
P0163,CasaLiving Nova Bedsheet Set,CasaLiving,Home & Kitchen,Bedding,"₹1,020"
P0164,ChefCraft Bold Cookware Set,ChefCraft,Home & Kitchen,Cookware,"₹1,980"
P0165,HomeNest Active Mixer Grinder,HomeNest,Home & Kitchen,Kitchen Appliances,"₹2,750"
P0166,ZenHome Alpha Wall Art,ZenHome,Home & Kitchen,Home Decor,"₹1,130"
P0167,CasaLiving Classic Bedsheet Set,CasaLiving,Home & Kitchen,Bedding,"₹2,960"
P0168,ChefCraft Nova Cookware Set,ChefCraft,Home & Kitchen,Cookware,"₹2,930"
P0169,HomeNest Bold Mixer Grinder,HomeNest,Home & Kitchen,Kitchen Appliances,"₹11,120"
P0170,ZenHome Active Wall Art,ZenHome,Home & Kitchen,Home Decor,"₹2,860"
P0171,CasaLiving Alpha Bedsheet Set,CasaLiving,Home & Kitchen,Bedding,"₹2,690"
P0172,ChefCraft Classic Cookware Set,ChefCraft,Home & Kitchen,Cookware,"₹4,970"
P0172,ChefCraft Classic Cookware Set,ChefCraft,Home & Kitchen,Cookware,"₹4,970"
P0173,HomeNest Nova Mixer Grinder,HomeNest,Home & Kitchen,Kitchen Appliances,"₹6,030"
P0174,ZenHome Bold Wall Art,ZenHome,Home & Kitchen,Home Decor,"₹1,540"
P0175,CasaLiving Active Bedsheet Set,CasaLiving,Home & Kitchen,Bedding,"₹2,140"
P0176,ChefCraft Vista Cookware Set,ChefCraft,Home & Kitchen,Cookware,"₹4,810"
P0177,HomeNest Elite Mixer Grinder,HomeNest,Home & Kitchen,Kitchen Appliances,"₹3,120"
P0178,GlowLeaf Craft Skincare Kit,GlowLeaf,Beauty & Personal Care,Skincare,₹660
P0179,VelvetBloom Prime Hair Serum,VelvetBloom,Beauty & Personal Care,Haircare,₹800
P0180,PureAura Royal Beard Trimmer,PureAura,Beauty & Personal Care,Grooming Appliances,"₹4,940"
P0181,GlowLeaf Max Perfume,GlowLeaf,Beauty & Personal Care,Fragrances,"₹1,130"
P0182,VelvetBloom Aura Skincare Kit,VelvetBloom,Beauty & Personal Care,Skincare,₹790
P0183,PureAura Craft Hair Serum,PureAura,Beauty & Personal Care,Haircare,"₹1,110"
P0184,GlowLeaf Prime Beard Trimmer,GlowLeaf,Beauty & Personal Care,Grooming Appliances,"₹5,400"
P0185,VelvetBloom Royal Perfume,VelvetBloom,Beauty & Personal Care,Fragrances,"₹1,860"
P0186,PureAura Max Skincare Kit,PureAura,beauty & personal care,Skincare,₹900
P0187,GlowLeaf Aura Hair Serum,GlowLeaf,Beauty & Personal Care,Haircare,₹710
P0188,VelvetBloom Craft Beard Trimmer,VelvetBloom,Beauty & Personal Care,Grooming Appliances,"₹1,700"
P0189,PureAura Prime Perfume,PureAura,Beauty & Personal Care,Fragrances,"₹2,310"
P0190,GlowLeaf Royal Skincare Kit,GlowLeaf,Beauty & Personal Care,Skincare,"₹2,320"
P0191,VelvetBloom Max Hair Serum,VelvetBloom,Beauty & Personal Care,Haircare,"₹1,690"
P0192,PureAura Aura Beard Trimmer,PureAura,Beauty & Personal Care,Grooming Appliances,"₹3,420"
P0193,GlowLeaf Craft Perfume,GlowLeaf,Beauty & Personal Care,Fragrances,"₹3,340"
P0194,VelvetBloom Prime Skincare Kit,VelvetBloom,Beauty & Personal Care,Skincare,"₹1,030"
P0195,PureAura Royal Hair Serum,PureAura,Beauty & Personal Care,Haircare,"₹1,320"
P0196,FlexFit Alpha Resistance Band Kit,FlexFit,sports & fitness,Fitness Equipment,"₹9,110"
P0197,IronPeak Classic Track Suit,IronPeak,Sports & Fitness,Sportswear,₹970
P0198,ZenStride Nova Yoga Mat,ZenStride,sports & fitness,Yoga & Accessories,₹700
P0199,FlexFit Bold Dumbbell Set,FlexFit,Sports & Fitness,Fitness Equipment,"₹7,320"
P0200,IronPeak Active Track Suit,IronPeak,Sports & Fitness,Sportswear,₹970
P0201,ZenStride Alpha Yoga Mat,ZenStride,sports & fitness,Yoga & Accessories,"₹2,440"
P0202,FlexFit Classic Resistance Band Kit,FlexFit,sports & fitness,Fitness Equipment,"₹5,250"
P0203,IronPeak Nova Track Suit,IronPeak,Sports & Fitness,Sportswear,₹590
P0204,ZenStride Bold Yoga Mat,ZenStride,sports & fitness,Yoga & Accessories,₹800
P0205,FlexFit Active Dumbbell Set,FlexFit,Sports & Fitness,Fitness Equipment,"₹2,180"
P0206,IronPeak Alpha Track Suit,IronPeak,Sports & Fitness,Sportswear,"₹2,220"
P0207,ZenStride Classic Yoga Mat,ZenStride,Sports & Fitness,Yoga & Accessories,₹960
P0208,FlexFit Nova Resistance Band Kit,FlexFit,Sports & Fitness,Fitness Equipment,"₹8,180"
P0209,IronPeak Bold Track Suit,IronPeak,Sports & Fitness,Sportswear,₹810
P0210,ZenStride Active Yoga Mat,ZenStride,Sports & Fitness,Yoga & Accessories,"₹2,370"
P0211,PageTurn Flex Fiction Novel,PageTurn,Books & Stationery,Fiction,₹510
P0212,InkNest Pure Self-Help Book,InkNest,books & stationery,Self-Help,₹850
P0213,PageTurn Neo Textbook,PageTurn,books & stationery,Academic,₹850
P0214,InkNest Urban Notebook Set,InkNest,Books & Stationery,Stationery,₹250
P0215,PageTurn Ultra Fiction Novel,PageTurn,Books & Stationery,Fiction,₹570
P0216,InkNest Flex Self-Help Book,InkNest,Books & Stationery,Self-Help,₹500
P0217,PageTurn Pure Textbook,PageTurn,Books & Stationery,Academic,"₹1,570"
P0218,InkNest Neo Notebook Set,InkNest,books & stationery,Stationery,"₹1,100"
P0219,PageTurn Urban Fiction Novel,PageTurn,Books & Stationery,Fiction,₹550
P0220,InkNest Ultra Self-Help Book,InkNest,Books & Stationery,Self-Help,₹340
